6.99E+09,7.37E+07,831548.6
2.16E+09,2.26E+07,463352.2
8.25E+09,8.48E+07,913265.3
9.06E+09,9.26E+07,961014.7
7.94E+09,8.03E+07,903934.6
8.99E+09,8.95E+07,969199
9.00E+09,8.88E+07,973276
8.67E+09,8.45E+07,960730.9
9.48E+09,9.11E+07,1011191
9.10E+09,8.67E+07,995655.9
8.23E+09,7.81E+07,949007.8
9.26E+09,8.63E+07,1016389
6.19E+09,5.71E+07,834314.9
1.88E+09,1.73E+07,461359.4
9.53E+08,8558347, 331747.2
8.15E+09,7.25E+07,974904.7
9.15E+09,8.03E+07,1038151
9.63E+09,8.40E+07,1068690
8.81E+09,7.59E+07,1027734
1.00E+10,8.58E+07,1101598
9.28E+09,7.82E+07,1067049
9.34E+09,7.83E+07,1073919
9.12E+09,7.63E+07,1061357
8.53E+09,7.00E+07,1036801
1.12E+10,9.11E+07,1188393
1.13E+10,9.14E+07,1204275
1.51E+10,1.21E+08,1393627
1.71E+10,1.36E+08,1486745
2.01E+10,1.59E+08,1622246
1.33E+10,1.04E+08,1325898
8.90E+09,6.84E+07,1092406
1.03E+10,7.94E+07,1170967
9.99E+09,7.64E+07,1159437
1.15E+10,8.70E+07,1255495
9.00E+09,6.70E+07,1115994
1.19E+10,8.85E+07,1282101
6.99E+09,5.08E+07,994056.4
1.12E+10,8.10E+07,1258635
1.11E+10,8.02E+07,1256271
9.75E+09,6.93E+07,1186459
1.14E+10,8.05E+07,1283569
1.01E+10,7.13E+07,1214150
8.55E+09,5.98E+07,1120104
1.06E+10,7.35E+07,1253022
1.09E+10,7.53E+07,1275770
1.13E+10,7.74E+07,1303378
9.08E+09,6.14E+07,1173680
1.38E+10,9.28E+07,1453389
2.24E+10,1.50E+08,1856322
1.91E+10,1.27E+08,1717869
2.83E+10,1.87E+08,2099418
1.95E+10,1.28E+08,1745684
1.52E+10,9.90E+07,1545976
1.22E+10,7.89E+07,1389281
1.48E+10,9.51E+07,1539026
1.22E+10,7.78E+07,1399911
1.08E+10,6.86E+07,1314579
1.09E+10,6.81E+07,1332223
1.60E+10,1.01E+08,1620722
1.37E+10,8.55E+07,1498569
8.82E+09,5.43E+07,1210341
2.43E+10,1.50E+08,2011823
1.82E+10,1.11E+08,1745381
2.77E+10,1.68E+08,2160914
2.67E+10,1.61E+08,2127445
2.33E+10,1.40E+08,1992507
1.51E+10,9.00E+07,1605469
8.01E+09,4.78E+07,1172020
1.48E+10,8.74E+07,1599525
1.26E+10,7.42E+07,1481317
1.25E+10,7.29E+07,1475967
3.45E+09,2.00E+07,780275.9
5.22E+09,3.01E+07,961654.3
5.50E+09,3.17E+07,987724.2
4.55E+09,2.61E+07,900952
2.68E+09,1.53E+07,694871.6
1.08E+10,6.10E+07,1394453
6.66E+09,3.71E+07,1106169
1.21E+09,6731181, 471319.3
